multiplication type;launch count;matrix size;block size;threadsCnt;timer;average time;absError;relError;
POSIX_Threads;5;512;64;1;clock_gettime();1.732377e+00;2.421128e-01;3.383710e+00%;
OpenMP;5;512;64;1;clock_gettime();1.885439e+00;4.754206e-02;1.198791e-01%;
POSIX_Threads;5;512;64;2;clock_gettime();9.499061e-01;1.680249e-02;2.972123e-02%;
OpenMP;5;512;64;2;clock_gettime();9.369529e-01;1.763556e-02;3.319407e-02%;
POSIX_Threads;5;512;64;3;clock_gettime();8.987253e-01;1.554389e-02;2.688391e-02%;
OpenMP;5;512;64;3;clock_gettime();8.846584e-01;1.158612e-02;1.517401e-02%;
POSIX_Threads;5;512;64;4;clock_gettime();8.103163e-01;2.331024e-02;6.705620e-02%;
OpenMP;5;512;64;4;clock_gettime();7.715133e-01;3.296838e-03;1.408808e-03%;
POSIX_Threads;5;512;64;5;clock_gettime();8.158584e-01;1.238376e-02;1.879707e-02%;
OpenMP;5;512;64;5;clock_gettime();7.844456e-01;1.949785e-02;4.846302e-02%;
POSIX_Threads;5;512;64;6;clock_gettime();8.148935e-01;1.633547e-02;3.274633e-02%;
OpenMP;5;512;64;6;clock_gettime();7.775438e-01;7.583857e-03;7.396997e-03%;
POSIX_Threads;5;512;64;7;clock_gettime();8.001095e-01;8.169384e-03;8.341212e-03%;
OpenMP;5;512;64;7;clock_gettime();7.721312e-01;1.951168e-02;4.930581e-02%;
POSIX_Threads;5;512;64;8;clock_gettime();8.053909e-01;4.645021e-03;2.678975e-03%;
OpenMP;5;512;64;8;clock_gettime();7.614746e-01;8.375448e-03;9.212144e-03%;
POSIX_Threads;5;512;64;9;clock_gettime();7.890615e-01;1.475638e-02;2.759618e-02%;
OpenMP;5;512;64;9;clock_gettime();7.785748e-01;4.196386e-02;2.261781e-01%;
POSIX_Threads;5;512;64;10;clock_gettime();7.954920e-01;1.071348e-02;1.442864e-02%;
OpenMP;5;512;64;10;clock_gettime();7.748667e-01;2.657062e-02;9.111215e-02%;
POSIX_Threads;5;512;64;11;clock_gettime();7.840969e-01;1.032025e-02;1.358346e-02%;
OpenMP;5;512;64;11;clock_gettime();7.791855e-01;3.317699e-02;1.412645e-01%;
POSIX_Threads;5;512;64;12;clock_gettime();7.795092e-01;4.898581e-03;3.078360e-03%;
OpenMP;5;512;64;12;clock_gettime();7.618439e-01;1.714067e-02;3.856465e-02%;
POSIX_Threads;5;512;64;13;clock_gettime();7.848054e-01;5.741789e-03;4.200804e-03%;
OpenMP;5;512;64;13;clock_gettime();7.609858e-01;9.958309e-03;1.303151e-02%;
POSIX_Threads;5;512;64;14;clock_gettime();7.759247e-01;7.761288e-03;7.763331e-03%;
OpenMP;5;512;64;14;clock_gettime();7.637715e-01;1.080059e-02;1.527327e-02%;
POSIX_Threads;5;512;64;15;clock_gettime();7.882713e-01;1.007305e-02;1.287199e-02%;
OpenMP;5;512;64;15;clock_gettime();7.600160e-01;6.593940e-03;5.720938e-03%;
POSIX_Threads;5;512;64;16;clock_gettime();7.874364e-01;8.641521e-03;9.483417e-03%;
OpenMP;5;512;64;16;clock_gettime();7.600143e-01;7.064848e-03;6.567254e-03%;
